SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs17531412	1	44182244	A	G	0.3056	-0.062526	0.021006	-2.9765781205369892	0.0029154	1639838	COVID_A2__EUR
rs4858241	3	20669071	T	G	0.3595	0.028325	0.02281	1.2417799210872424	0.21433	1629782	COVID_A2__EUR
rs4916723	5	87854395	A	C	0.4215	-0.030355	0.02255	-1.346119733924612	0.17827	1629782	COVID_A2__EUR
rs10262192	7	114091753	G	A	0.4453	0.0042293	0.022357	0.1891711768126314	0.84996	1629058	COVID_A2__EUR
rs74760947	8	34352610	A	G	0.04877	0.0016436	0.050015	0.03286214135759272	0.97379	1639838	COVID_A2__EUR
rs11591402	10	106747354	T	A	0.2209	-0.035313	0.022689	-1.55639296575433	0.11962	1638880	COVID_A2__EUR
rs1427829	12	89760744	A	G	0.551	-0.046816	0.019331	-2.421809528736227	0.015441	1639838	COVID_A2__EUR
rs8039398	15	47730870	T	C	0.4499	0.0094668	0.01917	0.4938341158059468	0.62142	1639838	COVID_A2__EUR
rs212178	16	72578131	G	A	0.8937	0.036677	0.036074	1.016715640073183	0.30928	1626303	COVID_A2__EUR
rs1222063	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs28411770	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
