SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs679515	1	207750568	T	C	0.8111	0.022875	0.017544	1.3038645690834472	0.1923	1350592	covid_vs._population
rs6733839	2	127892810	C	T	0.386	-0.008462200000000001	0.013219999999999999	-0.6401059001512861	0.5221	1362519	covid_vs._population
rs114812713	6	41034000	G	C	0.03326	-0.032723	0.047518	-0.6886443032114147	0.491	1355247	covid_vs._population
rs1385742	6	47595155	A	T	0.6447	0.005063399999999999	0.016582	0.3053552044385478	0.7601	662814	covid_vs._population
rs11767557	7	143109139	T	C	0.2043	-0.0040642	0.015965	-0.2545693704979643	0.7991	1361855	covid_vs._population
rs12590654	14	92938855	G	A	0.335	0.029526999999999998	0.015841	1.8639606085474398	0.062329999999999997	1336041	covid_vs._population
rs34665982	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs73223431	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs867230	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12416487	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs3740688	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs1582763	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs3851179	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs11218343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12151021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs111358663	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs4803765	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12972156	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs117310449	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs73033507	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs114533385	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs139995984	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
