SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs2758612	1	156205301	T	C	0.3808	-0.018522	0.010392	-1.7823325635103926	0.07468	979054	COVID_C2__EUR_w/o_UKBB
rs2634074	4	111677041	T	A	0.7743	0.004158	0.011095	0.3747634069400631	0.7078	1338646	COVID_C2__EUR_w/o_UKBB
rs2066864	4	155525695	G	A	0.2569	-0.017358	0.010595	-1.638319962246343	0.1013	1348343	COVID_C2__EUR_w/o_UKBB
rs11242678	6	1337180	C	T	0.2679	0.020622	0.010597	1.9460224591865625	0.05164	1276013	COVID_C2__EUR_w/o_UKBB
rs2107595	7	19049388	G	A	0.1784	0.0045263	0.012504	0.361988163787588	0.7174	1329167	COVID_C2__EUR_w/o_UKBB
rs635634	9	136155000	C	T	0.1881	0.10394	0.011419	9.10237	8.821000000000001e-20	1338287	COVID_C2__EUR_w/o_UKBB
rs473238	11	102700360	T	C	0.8427	-0.0035769	0.01335999999999999	-0.26773203592814376	0.7889	1337736	COVID_C2__EUR_w/o_UKBB
rs3184504	12	111884608	T	C	0.5575	0.012754	0.0092632	1.3768460143362984	0.1686	1267531	COVID_C2__EUR_w/o_UKBB
rs4942561	13	47209347	G	T	0.7537	3.2296e-4	0.010721	0.03012405559182912	0.976	1348343	COVID_C2__EUR_w/o_UKBB
rs34311906	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
