SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs10127497	1	67050144	A	T	0.1584	0.028810000000000002	0.032297	0.8920333157878442	0.3724	1019179	COVID:_hospitalized_vs._population
rs6699744	1	72825144	A	T	0.6147	-0.057659	0.032596	-1.76889802429746	0.07691	453032	COVID:_hospitalized_vs._population
rs7548151	1	177026983	G	A	0.0867	-0.098852	0.038394	-2.574673126009272	0.010029999999999999	1019179	COVID:_hospitalized_vs._population
rs30266	5	103972357	G	A	0.305	-0.018553999999999998	0.025744	-0.7207116221255437	0.4711	1018566	COVID:_hospitalized_vs._population
rs11961509	6	28989210	A	G	0.0535	0.08328200000000001	0.045189	1.8429706344464363	0.06533	1019179	COVID:_hospitalized_vs._population
rs3132685	6	29945949	G	A	0.1038	-0.016007	0.06035700000000001	-0.2652053614328081	0.7909	961719	COVID:_hospitalized_vs._population
rs112348907	6	73587953	A	G	0.3127	0.0026248	0.031406	0.0835763866777049	0.9334	1009123	COVID:_hospitalized_vs._population
rs263575	9	17033840	G	A	0.4662	0.045595	0.023617	1.9306008383791335	0.053529999999999994	1019179	COVID:_hospitalized_vs._population
rs1021363	10	106610839	A	G	0.6668	-0.019653999999999998	0.024962	-0.7873567823091097	0.4311	1019179	COVID:_hospitalized_vs._population
rs10501696	11	88748162	A	G	0.4688	-0.023221000000000002	0.028638	-0.8108457294503807	0.4175	1009123	COVID:_hospitalized_vs._population
rs9530139	13	31847324	C	T	0.2172	0.08871	0.036237	2.4480503352926566	0.01436	1009123	COVID:_hospitalized_vs._population
rs3807865	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2402273	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs28541419	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
