SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs2758612	1	156205301	T	C	0.3711	-0.0055728999999999996	0.020978	-0.2656544951854323	0.7905	1635329	COVID_B2__EUR
rs2634074	4	111677041	T	A	0.7817	-0.0063566000000000004	0.022992	-0.2764700765483647	0.7822	1877602	COVID_B2__EUR
rs2066864	4	155525695	G	A	0.2484	-0.029477	0.020602000000000002	-1.4307834190855255	0.1525	1887658	COVID_B2__EUR
rs11242678	6	1337180	C	T	0.2572	0.01876	0.020548	0.9129842320420478	0.3612	1887045	COVID_B2__EUR
rs2107595	7	19049388	G	A	0.1694	0.02095	0.026575	0.7883349012229539	0.4305	1874365	COVID_B2__EUR
rs635634	9	136155000	C	T	0.187	0.12557	0.023547	5.33274	9.689e-8	1877602	COVID_B2__EUR
rs473238	11	102700360	T	C	0.8524	0.014473	0.027648000000000002	0.5234736689814814	0.6006	1877602	COVID_B2__EUR
rs3184504	12	111884608	T	C	0.5402	0.036489999999999995	0.01886	1.934782608695652	0.053020000000000005	1877602	COVID_B2__EUR
rs4942561	13	47209347	G	T	0.7553	-0.034141000000000005	0.02059	-1.6581350169985432	0.09729	1887658	COVID_B2__EUR
rs34311906	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
