SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs2758612	1	156205301	T	C	0.3758	-0.021752	0.009093200000000001	-2.39211718646901	0.01675	1314121	COVID_C2__EUR
rs2634074	4	111677041	T	A	0.7808	8.1338e-4	0.009971500000000001	0.08157047585619014	0.935	1673713	COVID_C2__EUR
rs2066864	4	155525695	G	A	0.2536	-0.017875	0.0094484	-1.891854705558613	0.05851	1683410	COVID_C2__EUR
rs11242678	6	1337180	C	T	0.2645	0.019396	0.0094179	2.0594824748616998	0.03945	1611080	COVID_C2__EUR
rs2107595	7	19049388	G	A	0.173	0.011152	0.011176	0.9978525411596278	0.3183	1664234	COVID_C2__EUR
rs635634	9	136155000	C	T	0.1877	0.10504	0.010245	10.2528	1.141e-24	1673354	COVID_C2__EUR
rs473238	11	102700360	T	C	0.849	0.003005	0.01197	0.25104427736006685	0.8018	1672803	COVID_C2__EUR
rs3184504	12	111884608	T	C	0.5494	0.013325	0.0082266	1.6197457029635571	0.1053	1602598	COVID_C2__EUR
rs4942561	13	47209347	G	T	0.7536	0.0019320999999999997	0.0095181	0.20299219382019518	0.8391	1683410	COVID_C2__EUR
rs34311906	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
