SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs30266	5	103972357	G	A	0.3066	-0.024515000000000002	0.019828	-1.2363828928787575	0.2163	101620	covid_vs._lab/self-reported_negative
rs11961509	6	28989210	A	G	0.1276	0.018341999999999997	0.028526	0.6429923578489798	0.5202	127637	covid_vs._lab/self-reported_negative
rs3132685	6	29945949	G	A	0.1474	0.009918000000000001	0.029717	0.33374835952485116	0.7386	114235	covid_vs._lab/self-reported_negative
rs112348907	6	73587953	A	G	0.3216	0.017819	0.017166	1.0380403122451358	0.2992	127637	covid_vs._lab/self-reported_negative
rs3807865	7	12250402	G	A	0.4259	0.0073309	0.019252000000000002	0.38078641180137124	0.7034	87726	covid_vs._lab/self-reported_negative
rs2402273	7	117600424	T	C	0.4347	-0.018243000000000002	0.017603999999999998	-1.0362985685071577	0.3001	101982	covid_vs._lab/self-reported_negative
rs263575	9	17033840	G	A	0.4963	0.036301	0.015612000000000001	2.3251985652062515	0.020059999999999998	127637	covid_vs._lab/self-reported_negative
rs1021363	10	106610839	A	G	0.6541	0.0025412	0.01882	0.13502656748140276	0.8926	101982	covid_vs._lab/self-reported_negative
rs10501696	11	88748162	A	G	0.4755	-0.015094	0.019381	-0.7788039832825964	0.4361	87726	covid_vs._lab/self-reported_negative
rs28541419	15	88945878	C	G	0.2801	0.031137	0.022198	1.4026939363906659	0.1607	91561	covid_vs._lab/self-reported_negative
rs10127497	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs6699744	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs7548151	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs9530139	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
