SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs2758612	1	156205301	T	C	0.3557	-0.035335000000000005	0.032588	-1.084294832453664	0.2782	1139575	COVID_A2__EUR
rs2634074	4	111677041	T	A	0.7808	0.038714	0.035366	1.0946671944805744	0.2737	1378286	COVID_A2__EUR
rs2066864	4	155525695	G	A	0.2477	-0.031089	0.029441000000000002	-1.0559763594986582	0.29100000000000004	1388342	COVID_A2__EUR
rs11242678	6	1337180	C	T	0.2534	0.052999	0.029268000000000002	1.810817274839415	0.07017000000000001	1387939	COVID_A2__EUR
rs2107595	7	19049388	G	A	0.1655	0.015006	0.040473	0.3707656956489511	0.7108	1378286	COVID_A2__EUR
rs635634	9	136155000	C	T	0.1953	0.16402	0.037175	4.4121	1.024e-5	1378286	COVID_A2__EUR
rs473238	11	102700360	T	C	0.8472	-0.023	0.043601	-0.5275108369074104	0.5978	1378286	COVID_A2__EUR
rs3184504	12	111884608	T	C	0.5228	0.057930999999999996	0.030007	1.9305828639984004	0.053529999999999994	1378286	COVID_A2__EUR
rs4942561	13	47209347	G	T	0.7567	-0.059957	0.029158999999999997	-2.0562090606673755	0.039760000000000004	1388342	COVID_A2__EUR
rs34311906	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
