SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs2758612	1	156205301	T	C	0.3675	-0.025208	0.014362	-1.7551872998189668	0.079225	2084025	COVID_B2__EUR
rs2634074	4	111677041	T	A	0.7809	0.0089559	0.015056	0.5948392667375132	0.55196	2499458	COVID_B2__EUR
rs2066864	4	155525695	G	A	0.2466	-0.0018263	0.014052	-0.12996726444634216	0.89659	2509514	COVID_B2__EUR
rs11242678	6	1337180	C	T	0.2555	0.012308	0.014053	0.8758272255034513	0.3811	2508151	COVID_B2__EUR
rs2107595	7	19049388	G	A	0.1676	0.020245	0.016846	1.2017689659266295	0.22944	2498708	COVID_B2__EUR
rs635634	9	136155000	C	T	0.1875	0.11523	0.015329	7.51712	5.6043e-14	2499458	COVID_B2__EUR
rs473238	11	102700360	T	C	0.8542	0.0076868	0.018185	0.4227000274951883	0.67251	2498500	COVID_B2__EUR
rs3184504	12	111884608	T	C	0.5356	0.024654	0.012344	1.9972456254050548	0.04581	2498500	COVID_B2__EUR
rs4942561	13	47209347	G	T	0.7544	-0.025751	0.01403	-1.835424091233072	0.066436	2509514	COVID_B2__EUR
rs34311906	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
