SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs2758612	1	156205301	T	C	0.3736	-8.7148e-4	0.025585	-0.03406214578854798	0.9728	1305082	COVID_B2__EUR_w/o_UKBB
rs2634074	4	111677041	T	A	0.7764	0.0062284	0.026885	0.23166821647758973	0.8168	1547355	COVID_B2__EUR_w/o_UKBB
rs2066864	4	155525695	G	A	0.2501	-0.041885	0.023881	-1.753904777856874	0.07945	1557411	COVID_B2__EUR_w/o_UKBB
rs11242678	6	1337180	C	T	0.2584	0.040677	0.023947	1.6986261327097338	0.08939	1556798	COVID_B2__EUR_w/o_UKBB
rs2107595	7	19049388	G	A	0.1733	-0.011664	0.031729	-0.3676132244949415	0.7132	1544118	COVID_B2__EUR_w/o_UKBB
rs635634	9	136155000	C	T	0.1873	0.12039	0.02758799999999999	4.36385	1.278e-5	1547355	COVID_B2__EUR_w/o_UKBB
rs473238	11	102700360	T	C	0.8478	0.01738	0.032517	0.5344896515668727	0.593	1547355	COVID_B2__EUR_w/o_UKBB
rs3184504	12	111884608	T	C	0.5448	0.019465	0.022419	0.8682367634595655	0.3853	1547355	COVID_B2__EUR_w/o_UKBB
rs4942561	13	47209347	G	T	0.7557	-0.04422699999999999	0.023938	-1.8475645417328097	0.06466000000000001	1557411	COVID_B2__EUR_w/o_UKBB
rs34311906	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
