SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs17531412	1	44182244	A	G	0.3043	0.005335	0.010085	0.5290034705007437	0.5968	1339582	COVID_C2__EUR_w/o_UKBB
rs4858241	3	20669071	T	G	0.3713	-0.016519	0.0098149	-1.68305331689574	0.09236	1329167	COVID_C2__EUR_w/o_UKBB
rs4916723	5	87854395	A	C	0.4358	0.0050056	0.010206	0.490456594160298	0.6238	983208	COVID_C2__EUR_w/o_UKBB
rs10262192	7	114091753	G	A	0.4454	0.012473	0.0095675	1.3036843480533056	0.1923	1329526	COVID_C2__EUR_w/o_UKBB
rs74760947	8	34352610	A	G	0.05967	0.011463	0.02223499999999999	0.5155385653249381	0.6062	1348702	COVID_C2__EUR_w/o_UKBB
rs11591402	10	106747354	T	A	0.2299	0.019854	0.010799	1.8385035651449209	0.06599	1277946	COVID_C2__EUR_w/o_UKBB
rs1427829	12	89760744	A	G	0.5577	-0.0044438	0.0092866	-0.4785174337217065	0.6323	1339582	COVID_C2__EUR_w/o_UKBB
rs8039398	15	47730870	T	C	0.4408	-0.017733	0.0090336	-1.963004782146653	0.04965	1348702	COVID_C2__EUR_w/o_UKBB
rs212178	16	72578131	G	A	0.8938	0.0026723	0.015823	0.16888706313594137	0.8659	1326205	COVID_C2__EUR_w/o_UKBB
rs1222063	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs28411770	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
