SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs17531412	1	44182244	A	G	0.3025	-0.053162	0.022723	-2.339567838753686	0.01931	1554795	COVID_B2__EUR_w/o_UKBB
rs4858241	3	20669071	T	G	0.36870000000000003	0.033538	0.024815	1.3515212573040498	0.1765	1544739	COVID_B2__EUR_w/o_UKBB
rs4916723	5	87854395	A	C	0.4266	-0.025893	0.025397	-1.0195298657321732	0.308	1269707	COVID_B2__EUR_w/o_UKBB
rs10262192	7	114091753	G	A	0.4414	0.0037801	0.02461	0.15360016253555467	0.8779	1544118	COVID_B2__EUR_w/o_UKBB
rs74760947	8	34352610	A	G	0.05262	0.036107	0.052027	0.6940050358467719	0.4877	1557411	COVID_B2__EUR_w/o_UKBB
rs11591402	10	106747354	T	A	0.2246	-0.016008	0.023722	-0.6748166259168705	0.4998	1556790	COVID_B2__EUR_w/o_UKBB
rs1427829	12	89760744	A	G	0.5523	-0.036392	0.021021	-1.7312211597925882	0.08341	1554795	COVID_B2__EUR_w/o_UKBB
rs8039398	15	47730870	T	C	0.4433	-0.00103909999999999	0.019868	-0.05230018119589288	0.9583	1557411	COVID_B2__EUR_w/o_UKBB
rs212178	16	72578131	G	A	0.8948	0.045785	0.041787	1.0956756886112906	0.2732	1541524	COVID_B2__EUR_w/o_UKBB
rs1222063	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs28411770	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
